,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
10,0.5,.222,2.3,,,,0.8,,,0.5,.222,2.3,0.5,.536,1.0,28,,NBA,7.9,Don Ackerman,,1.5,1.5,,,0.5,.222,,,,,,,0.1,.444,,,-0.7,1.0,,,,.285,,,-0.6,-0.123
11,1.4,.505,2.7,0.0,.538,0.0,0.5,0.3,2.5,1.4,.506,2.7,0.8,.665,1.2,375,68,NBA,16.0,Mark Acres,1.5,2.5,3.6,0.4,0.6,4.1,.509,.013,3.8,1.0,-2.0,0.0,17.6,4.2,.456,-2.0,10.7,5.1,9.0,1.1,16.2,14.1,.551,10.0,0.0,9.3,.075
12,1.3,.392,3.2,,,,0.5,,,1.3,.392,3.2,0.8,.655,1.3,23,,NBA,8.5,Bud Acton,,1.5,3.3,,,2.0,.392,,7.5,,,,,0.2,.392,,,-0.1,9.5,,,,.444,,,0.1,.021
13,5.8,.498,11.6,0.0,.133,0.0,4.1,0.8,5.0,5.8,.498,11.6,2.5,.788,3.2,988,342,NBA,27.5,Alvan Adams,2.0,3.3,14.1,1.3,2.6,7.0,.498,.001,21.4,1.6,3.7,2.3,19.7,43.6,.276,1.4,8.3,29.8,18.3,2.2,17.8,14.1,.541,22.0,39.3,73.5,.130
14,3.5,.402,8.7,0.0,.000,0.1,1.9,0.2,3.3,3.5,.402,8.7,1.8,.741,2.5,523,,TOT,25.8,Don Adams,1.5,3.3,8.8,1.1,2.2,5.6,.402,.001,10.0,0.5,-1.8,0.9,13.8,14.5,.283,-2.7,6.2,-2.8,10.7,2.1,16.7,10.6,.451,16.9,0.3,11.7,.042
15,3.3,.500,6.6,0.0,.235,0.1,1.5,0.4,2.6,3.3,.497,6.7,1.0,.794,1.3,215,,ABA,18.2,George Adams,1.5,1.7,7.7,0.6,1.4,4.1,.499,.012,10.8,1.0,-0.9,-0.2,13.9,3.0,.189,-0.8,7.4,3.6,14.0,1.3,15.8,10.6,.530,17.9,0.8,6.6,.081
16,1.1,.537,2.0,0.0,.000,0.0,0.2,0.1,0.7,1.1,.534,2.0,0.4,.643,0.6,73,8,NBA,7.5,Hassan Adams,0.5,0.7,2.5,0.2,0.4,1.2,.534,.007,4.4,0.7,-4.4,-1.2,10.3,0.5,.284,-3.2,7.8,0.3,11.8,1.7,13.5,9.1,.556,16.4,-0.3,0.8,.072
17,3.5,.462,7.6,1.5,.332,4.4,6.4,0.1,2.3,5.0,.415,12.0,3.3,.849,3.9,653,510,NBA,31.3,Michael Adams,0.6,1.8,14.7,1.7,2.1,2.9,.475,.364,28.2,0.2,1.5,-1.2,8.1,15.3,.324,2.7,2.1,31.6,16.6,2.5,13.5,5.0,.536,20.2,18.0,46.9,.110
18,2.2,.472,4.8,0.2,.282,0.6,0.9,0.2,1.4,2.4,.449,5.4,0.7,.772,0.9,379,54,NBA,15.0,Rafael Addison,0.7,1.8,5.8,0.4,0.7,2.1,.466,.120,9.1,1.0,-4.1,-1.6,10.4,3.2,.175,-2.5,5.2,1.7,10.5,1.3,11.4,7.8,.496,18.7,-3.0,4.9,.041
19,3.0,.415,7.2,,,,3.5,0.1,1.1,3.0,.415,7.2,1.8,.713,2.5,462,,NBA,22.6,Rick Adelman,0.4,2.1,7.7,0.9,,2.4,.415,,20.0,0.3,-2.5,0.6,7.6,8.1,.344,-3.1,2.5,1.9,11.3,2.8,,4.7,.467,,-0.2,10.0,.046
