,Unnamed: 0_x,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF_x,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,Position,C,PF_y,PG,SF,SG,nan
3486,3350,5.9,0.477,12.4,0.3,0.22,1.2,7.0,0.4,3.7,6.1,0.457,13.5,2.3,0.69,3.4,556,276.0,NBA,33.4,Micheal Ray Richardson,1.8,3.3,14.8,2.6,3.3,5.5,0.465,0.075,28.7,0.6,3.5,2.0,12.7,25.6,0.25,1.5,5.8,9.6,16.9,3.7,18.3,9.2,0.497,21.8,25.9,35.2,0.091,3292.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
3487,3351,0.5,0.333,1.6,0.4,0.5,0.7,0.2,0.0,0.5,0.9,0.385,2.4,0.5,0.667,0.8,11,0.0,NBA,6.1,Norm Richardson,0.3,0.5,2.7,0.0,0.3,0.7,0.462,0.308,4.7,0.0,-8.4,-6.0,8.9,0.0,0.346,-2.4,5.1,0.0,10.3,0.0,9.1,6.9,0.501,22.6,-0.1,0.0,0.006,3293.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3488,3352,4.2,0.465,9.0,0.6,0.329,1.7,6.5,0.2,2.1,4.8,0.444,10.7,1.0,0.652,1.5,639,483.0,NBA,30.4,Pooh Richardson,0.7,1.8,11.1,1.3,1.8,2.8,0.47,0.158,33.5,0.4,-0.9,-1.6,8.4,10.2,0.141,0.7,2.5,16.5,14.9,2.2,13.8,5.4,0.486,18.9,5.5,26.7,0.066,3294.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
3489,3353,2.2,0.431,5.2,1.5,0.355,4.2,1.5,0.2,3.5,3.7,0.397,9.4,1.3,0.718,1.8,783,486.0,NBA,26.5,Quentin Richardson,1.2,2.0,10.3,0.8,1.1,4.7,0.476,0.447,9.0,0.5,-0.3,-0.8,14.9,15.5,0.193,0.5,5.2,17.3,12.9,1.5,9.8,10.1,0.503,19.2,8.9,32.8,0.076,3295.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3490,3354,6.1,0.474,12.9,1.4,0.388,3.5,3.5,0.3,3.0,7.5,0.455,16.4,4.7,0.85,5.5,976,902.0,NBA,35.2,Mitch Richmond,0.9,2.6,21.0,1.2,2.6,3.9,0.497,0.213,16.7,0.5,0.9,-1.7,9.5,20.0,0.335,2.5,2.8,59.3,17.6,1.8,12.3,6.1,0.557,26.0,25.0,79.3,0.111,3296.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3491,3355,1.7,0.34,5.0,,,,0.4,,,1.7,0.34,5.0,0.9,0.504,1.8,66,,NBA,12.2,John Richter,,2.4,4.3,,,4.7,0.34,,,,,,,1.6,0.352,,,-1.1,8.1,,,,0.372,,,0.4,0.026,3297.0,C,1.0,0.0,0.0,0.0,0.0,0.0
3492,3356,3.5,0.328,10.8,,,,2.1,,,3.5,0.328,10.8,2.2,0.692,3.2,212,,NBA,26.8,Dick Ricketts,,4.1,9.3,,,6.3,0.328,,,,,,,7.8,0.301,,,-5.7,9.6,,,,0.381,,,2.1,0.018,3298.0,PF,0.0,1.0,0.0,0.0,0.0,0.0
3493,3357,5.2,0.471,11.0,1.2,0.352,3.4,2.7,0.2,2.6,6.4,0.443,14.4,2.8,0.812,3.4,563,424.0,NBA,31.7,Isaiah Rider,1.2,2.4,16.7,0.7,2.5,3.8,0.484,0.235,16.0,0.6,-1.2,-2.1,9.6,9.4,0.239,0.9,4.5,13.4,14.7,1.1,13.8,7.1,0.526,26.0,3.6,22.8,0.061,3299.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3494,3358,0.6,0.432,1.4,,,,0.2,,,0.6,0.432,1.4,0.6,0.731,0.8,32,,NBA,3.3,Jackie Ridgle,,0.5,1.8,,,0.5,0.432,,9.4,,,,,0.1,0.591,,,0.2,13.7,,,6.8,0.514,,,0.2,0.102,3300.0,SG,0.0,0.0,0.0,0.0,1.0,0.0
3495,3359,2.8,0.458,6.2,0.7,0.349,2.0,4.5,0.2,1.8,3.5,0.431,8.2,1.6,0.862,1.8,830,493.0,NBA,26.1,Luke Ridnour,0.4,2.1,9.3,1.0,1.6,2.3,0.474,0.246,27.5,0.6,-0.9,-1.3,8.3,11.4,0.22,0.3,1.9,24.6,13.9,2.0,15.3,5.0,0.519,18.3,5.8,36.0,0.08,3301.0,PG,0.0,0.0,1.0,0.0,0.0,0.0
