,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%
1022,[u'1.6'],[u'.434'],[u'3.7'],[],[],[],[u'0.5'],[u'0.1'],[u'1.3'],[u'1.6'],[u'.434'],[u'3.7'],[u'0.8'],[u'.637'],[u'1.3'],[u'120'],[],[u'NBA'],[u'10.0'],Ken Durrett,[u'0.7'],[u'1.6'],[u'4.0'],[u'0.2'],[],[u'1.9'],[u'.434']
1023,[u'0.8'],[u'.361'],[u'2.2'],[],[],[],[u'0.7'],[u'0.1'],[u'0.4'],[u'0.8'],[u'.361'],[u'2.2'],[u'0.4'],[u'.667'],[u'0.5'],[u'50'],[],[u'NBA'],[u'5.3'],Dennis DuVal,[u'0.2'],[u'1.0'],[u'1.9'],[u'0.4'],[],[u'0.6'],[u'.361']
1024,[u'2.0'],[u'.318'],[u'6.3'],[],[],[],[u'2.2'],[],[],[u'2.0'],[u'.318'],[u'6.3'],[u'0.6'],[u'.493'],[u'1.2'],[u'60'],[],[u'BAA'],[],Jack Dwan,[],[u'2.6'],[u'4.6'],[],[],[],[u'.318']
1025,[u'0.5'],[u'.455'],[u'1.0'],[u'0.1'],[u'.500'],[u'0.1'],[u'0.5'],[u'0.0'],[u'0.3'],[u'0.5'],[u'.459'],[u'1.2'],[u'0.2'],[u'.778'],[u'0.3'],[u'32'],[u'0'],[u'NBA'],[u'3.2'],Craig Dykema,[u'0.1'],[u'0.6'],[u'1.3'],[u'0.1'],[u'0.2'],[u'0.4'],[u'.486']
1026,[u'0.5'],[u'.231'],[u'2.4'],[],[],[],[u'0.5'],[],[],[u'0.5'],[u'.231'],[u'2.4'],[u'0.4'],[u'.500'],[u'0.7'],[u'11'],[],[u'NBA'],[u'8.3'],Gene Dyker,[],[u'1.9'],[u'1.5'],[],[],[u'1.5'],[u'.231']
1027,[u'2.0'],[u'.450'],[u'4.4'],[u'0.1'],[u'.125'],[u'0.9'],[u'2.0'],[u'0.2'],[u'1.9'],[u'2.1'],[u'.396'],[u'5.3'],[u'3.1'],[u'.778'],[u'4.0'],[u'9'],[u'1'],[u'NBA'],[u'20.0'],Jerome Dyson,[u'0.2'],[u'2.1'],[u'7.4'],[u'1.2'],[u'2.2'],[u'2.1'],[u'.406']
1028,[u'3.2'],[u'.522'],[u'6.1'],[u'0.0'],[u'.083'],[u'0.0'],[u'0.5'],[u'1.7'],[u'5.3'],[u'3.2'],[u'.521'],[u'6.1'],[u'1.3'],[u'.706'],[u'1.9'],[u'886'],[u'694'],[u'NBA'],[u'24.4'],Samuel Dalembert,[u'2.6'],[u'2.9'],[u'7.7'],[u'0.5'],[u'1.4'],[u'7.8'],[u'.521']
1029,[u'0.6'],[u'.384'],[u'1.6'],[u'1.5'],[u'.404'],[u'3.8'],[u'0.6'],[u'0.0'],[u'0.9'],[u'2.1'],[u'.399'],[u'5.3'],[u'0.4'],[u'.787'],[u'0.5'],[u'156'],[u'4'],[u'NBA'],[u'12.9'],Troy Daniels,[u'0.2'],[u'1.1'],[u'6.2'],[u'0.2'],[u'0.6'],[u'1.2'],[u'.542']
1030,[u'0.9'],[u'.486'],[u'1.9'],[u'0.5'],[u'.316'],[u'1.4'],[u'0.4'],[u'0.1'],[u'1.1'],[u'1.4'],[u'.414'],[u'3.4'],[u'0.2'],[u'.818'],[u'0.2'],[u'55'],[u'1'],[u'NBA'],[u'8.1'],Gigi Datome,[u'0.3'],[u'0.6'],[u'3.4'],[u'0.1'],[u'0.4'],[u'1.4'],[u'.481']
1031,[u'1.3'],[u'.448'],[u'2.8'],[u'0.1'],[u'.227'],[u'0.6'],[u'0.7'],[u'0.2'],[u'1.5'],[u'1.4'],[u'.411'],[u'3.4'],[u'0.7'],[u'.644'],[u'1.2'],[u'78'],[u'6'],[u'NBA'],[u'12.8'],Brandon Davies,[u'1.0'],[u'1.9'],[u'3.7'],[u'0.5'],[u'0.8'],[u'2.5'],[u'.430']
1032,[u'8.2'],[u'.524'],[u'15.7'],[u'0.2'],[u'.292'],[u'0.8'],[u'1.8'],[u'2.4'],[u'7.6'],[u'8.5'],[u'.513'],[u'16.5'],[u'5.2'],[u'.786'],[u'6.6'],[u'332'],[u'327'],[u'NBA'],[u'34.4'],Anthony Davis,[u'2.5'],[u'2.4'],[u'22.3'],[u'1.3'],[u'1.8'],[u'10.2'],[u'.520']
