,Unnamed: 0_x,2P,2P%,2PA,3P_x,3P%_x,3PA_x,AST_x,BLK_x,DRB,FG_x,FG%_x,FGA_x,FT_x,FT%_x,FTA_x,G_x,GS,Lg,MP_x,Name,ORB_x,PF_x,PTS_x,STL_x,TOV_x,TRB_x,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,Unnamed: 0_y,3P_y,3P%_y,3PA_y,AST_y,AST_per_g,BLK_y,FG_y,FG%_y,FGA_y,FT_y,FT%_y,FTA_y,G_y,MP_y,MP_per_g,ORB_y,PF_y,PTS_y,PTS_per_g,STL_y,TOV_y,TRB_y,TRB_per_g
644,640,2.1,0.509,4.1,0.0,0.077,0.0,0.5,1.3,3.7,2.1,0.507,4.1,1.3,0.644,2.0,541,248.0,NBA,19.6,Kelvin Cato,1.6,2.5,5.5,0.5,0.8,5.3,0.507,0.006,3.7,4.6,-0.3,2.0,21.1,16.4,0.5,-2.3,9.8,12.2,14.4,1.5,14.2,15.6,0.548,13.5,4.6,28.6,0.129,387.0,0.0,0.0,1.0,49.0,0.6,274.0,271.0,0.498,544.0,177.0,0.584,303.0,79.0,1931.0,24.4,,228.0,719.0,9.1,67.0,128.0,582.0,7.4
645,641,1.1,0.412,2.7,0.0,0.143,0.1,0.1,0.0,0.9,1.1,0.404,2.8,0.8,0.765,1.1,78,1.0,NBA,6.7,Bobby Cattage,0.5,1.0,3.1,0.2,0.4,1.4,0.406,0.032,2.8,0.0,-8.5,-4.3,14.8,0.3,0.39,-4.2,7.7,0.0,10.2,1.2,10.8,11.2,0.474,21.9,-0.9,0.3,0.027,388.0,,,,,,,409.0,0.47,871.0,162.0,0.698,232.0,104.0,772.0,15.4,,,980.0,9.4,,,641.0,6.2
646,642,1.9,0.508,3.7,0.0,0.286,0.0,0.4,1.4,2.7,1.9,0.507,3.8,1.1,0.618,1.8,541,262.0,NBA,17.4,Duane Causwell,1.5,2.7,4.9,0.4,0.9,4.2,0.508,0.003,3.8,5.4,-1.3,2.1,17.8,12.2,0.469,-3.5,9.4,3.6,11.7,1.2,17.0,13.6,0.541,13.6,1.6,15.8,0.081,389.0,0.0,0.0,1.0,31.0,0.4,203.0,207.0,0.504,411.0,128.0,0.624,205.0,75.0,1896.0,25.3,,202.0,542.0,7.2,45.0,70.0,451.0,6.0
647,643,0.5,0.337,1.5,0.0,,0.0,0.3,0.8,2.0,0.5,0.337,1.5,0.4,0.545,0.8,58,2.0,NBA,11.5,Ron Cavenall,0.9,2.2,1.4,0.2,0.8,2.9,0.337,0.0,3.4,4.0,-4.5,2.4,20.5,0.8,0.494,-6.9,8.9,-1.0,4.2,0.9,30.3,14.6,0.388,9.6,-0.4,-0.2,-0.017,390.0,,,,,,,224.0,0.486,461.0,73.0,0.557,131.0,95.0,,,,,521.0,5.5,,,500.0,5.3
648,644,5.2,0.524,10.0,0.4,0.309,1.2,1.2,0.3,3.3,5.6,0.5,11.2,2.7,0.753,3.6,609,313.0,NBA,24.2,Cedric Ceballos,2.1,1.8,14.3,0.7,1.6,5.3,0.518,0.111,8.3,0.8,-0.4,-1.7,15.1,14.1,0.317,1.3,9.7,26.3,19.3,1.5,11.3,12.4,0.559,25.9,6.0,40.4,0.132,391.0,47.0,0.305,154.0,93.0,1.6,23.0,488.0,0.463,1054.0,261.0,0.671,389.0,58.0,2057.0,35.5,,146.0,1284.0,22.1,93.0,189.0,618.0,10.7
649,645,0.8,0.361,2.3,0.1,0.222,0.6,1.3,0.0,0.6,0.9,0.333,2.8,0.3,0.833,0.4,16,0.0,NBA,11.6,John Celestand,0.1,1.4,2.3,0.4,1.0,0.7,0.356,0.2,15.2,0.0,-7.4,-0.8,5.7,0.2,0.133,-6.6,0.6,-0.4,2.7,1.9,25.1,3.2,0.388,15.1,-0.3,-0.1,-0.038,392.0,144.0,0.329,438.0,450.0,3.6,29.0,419.0,0.409,1024.0,242.0,0.731,331.0,124.0,2302.0,24.2,,192.0,1224.0,9.9,155.0,224.0,342.0,2.8
650,646,2.0,0.359,5.6,,,,3.2,,,2.0,0.359,5.6,3.9,0.839,4.6,202,,NBA,12.4,Al Cervi,,3.3,7.9,,,1.8,0.359,,,,,,,5.9,0.825,,,16.0,21.0,,,,0.517,,,21.9,0.308,,,,,,,,,,,,,,,,,,,,,,,,
651,647,0.8,0.395,2.1,0.3,0.245,1.4,1.4,0.0,0.8,1.2,0.336,3.5,0.4,0.625,0.7,36,0.0,NBA,12.0,Lionel Chalmers,0.1,0.8,3.1,0.4,0.7,0.9,0.384,0.392,18.6,0.0,-6.3,-2.7,7.3,0.2,0.192,-3.6,1.1,-0.5,6.5,1.6,15.0,4.3,0.409,17.0,-0.5,-0.2,-0.025,393.0,235.0,0.372,632.0,405.0,3.3,7.0,512.0,0.425,1205.0,297.0,0.716,415.0,123.0,3897.0,31.7,,,1556.0,12.7,154.0,,361.0,2.9
652,648,2.1,0.413,5.2,0.0,0.25,0.2,1.4,0.4,1.3,2.2,0.41,5.3,1.0,0.652,1.5,78,,TOT,13.2,Bill Chamberlain,1.2,2.2,5.3,0.7,1.2,2.5,0.413,0.019,14.5,1.7,-0.1,-0.1,9.9,1.4,0.279,0.0,8.9,-0.9,10.6,2.4,15.8,9.4,0.449,21.4,0.2,0.5,0.025,,,,,,,,,,,,,,,,,,,,,,,,
653,649,12.1,0.54,22.5,,,,4.4,,,12.1,0.54,22.5,5.8,0.511,11.4,1045,,NBA,45.8,Wilt Chamberlain,,2.0,30.1,,,22.9,0.54,,15.8,,,,,93.9,0.505,,,153.3,26.1,,,19.4,0.547,,,247.3,0.248,394.0,,,,,,,503.0,0.47,1070.0,427.0,0.619,690.0,48.0,,,,,1433.0,29.9,,,877.0,18.3
654,650,3.5,0.441,7.9,0.0,0.2,0.1,0.8,0.1,2.1,3.5,0.44,7.9,1.4,0.774,1.8,320,,TOT,16.1,Jerry Chambers,1.5,2.0,8.3,0.3,1.0,3.2,0.44,0.004,7.6,0.3,-1.9,-0.8,12.4,3.3,0.222,-1.1,8.0,1.9,13.2,1.0,9.9,9.7,0.479,22.5,0.0,5.2,0.049,,,,,,,,,,,,,,,,,,,,,,,,
655,651,6.5,0.476,13.6,0.2,0.307,0.7,2.1,0.6,4.3,6.7,0.468,14.2,4.6,0.807,5.7,1107,743.0,NBA,30.6,Tom Chambers,1.8,3.4,18.1,0.8,2.3,6.1,0.476,0.047,10.1,1.1,-0.5,-0.8,15.7,32.3,0.398,0.3,6.5,46.7,16.5,1.2,12.1,11.2,0.542,25.4,13.2,79.0,0.112,395.0,,,,82.0,0.7,,691.0,0.553,1249.0,316.0,0.665,475.0,116.0,2959.0,25.5,,,1698.0,14.6,,,876.0,7.6
656,652,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,,0.0,2,0.0,NBA,2.0,Mike Champion,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.333,0.0,0.0,-40.8,-9.6,0.0,0.0,0.0,-31.3,0.0,-0.1,-43.7,0.0,25.0,0.0,0.0,39.8,0.0,-0.1,-0.952,396.0,,,,,,,155.0,0.44,352.0,66.0,0.647,102.0,96.0,1458.0,15.2,,,376.0,3.9,,,259.0,2.7
657,653,3.4,0.437,7.8,0.0,0.2,0.1,2.2,0.5,1.9,3.4,0.436,7.8,1.6,0.776,2.0,790,0.0,TOT,23.9,Don Chaney,1.6,2.8,8.4,1.2,1.2,4.0,0.437,0.002,11.8,1.1,-0.3,1.3,8.3,24.9,0.261,-1.6,7.1,11.4,11.6,2.3,16.4,7.9,0.482,16.9,4.6,36.3,0.092,397.0,,,,,,,491.0,0.438,1122.0,151.0,0.634,238.0,90.0,2675.0,29.7,,,1133.0,12.6,,,475.0,5.3
658,654,1.6,0.291,5.4,,,,1.3,,,1.6,0.291,5.4,1.3,0.69,1.8,16,,NBA,,John Chaney,,1.4,4.4,,,,0.291,,,,,,,0.1,0.337,,,-0.2,,,,,0.354,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
659,655,4.4,0.459,9.5,1.2,0.35,3.5,2.7,0.2,1.9,5.6,0.43,13.0,2.2,0.8,2.8,666,490.0,NBA,29.3,Rex Chapman,0.6,1.8,14.6,0.9,1.5,2.5,0.477,0.266,14.9,0.4,-1.5,-2.1,7.5,9.8,0.216,0.5,2.2,15.0,13.9,1.5,9.8,4.8,0.514,23.3,2.2,24.7,0.061,398.0,134.0,0.4,335.0,220.0,3.6,31.0,404.0,0.475,851.0,131.0,0.771,170.0,61.0,2070.0,33.9,,116.0,1073.0,17.6,89.0,155.0,159.0,2.6
660,656,2.5,0.393,6.4,0.1,0.257,0.5,1.5,,1.5,2.7,0.383,7.0,1.5,0.691,2.1,206,,ABA,16.0,Wayne Chapman,0.9,2.5,7.0,,1.4,2.5,0.393,0.076,13.1,,,,3.5,3.4,0.306,,2.5,-2.3,8.8,,15.3,6.7,0.439,21.1,,1.1,0.016,,,,,,,,,,,,,,,,,,,,,,,,
661,657,3.6,0.452,8.1,0.0,,0.0,0.8,,2.2,3.6,0.452,8.1,2.0,0.697,2.9,670,,TOT,17.9,Len Chappell,1.8,2.0,9.3,,0.8,5.1,0.452,0.0,6.2,,,,12.5,8.3,0.356,,10.4,13.6,15.6,,9.6,11.8,0.498,19.5,,21.9,0.088,,,,,,,,,,,,,,,,,,,,,,,,
662,658,3.4,0.441,7.6,,,,2.5,0.4,1.4,3.4,0.441,7.6,1.8,0.789,2.3,322,,NBA,23.7,Ken Charles,0.6,2.5,8.5,1.3,1.8,2.0,0.441,,14.6,0.9,-1.7,-0.1,5.9,6.0,0.299,-1.6,2.7,3.7,11.9,2.4,15.2,4.4,0.494,18.8,0.6,9.8,0.061,,,,,,,,,,,,,,,,,,,,,,,,
