,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
920,.112,20.1,0.2,-1.1,-1.0,8.9,14.0,.211,Vinny Del Negro,-0.1,1.7,26.6,13.5,1.5,11.1,5.4,.534,17.2,4.5,40.6,.101
921,.004,7.7,2.5,-0.3,0.7,20.1,13.8,.347,Bison Dele,-1.0,10.0,9.0,16.5,1.7,16.9,15.0,.562,21.8,4.4,22.8,.109
922,.506,12.1,0.6,0.8,0.7,15.5,15.4,.177,Carlos Delfino,0.1,2.9,7.1,12.6,2.1,11.4,9.1,.520,17.7,8.1,22.5,.093
923,.300,15.2,0.5,-1.3,-1.2,9.8,10.5,.209,Tony Delk,-0.1,3.3,9.0,13.7,2.0,10.3,6.5,.494,21.4,2.1,19.5,.080
924,,,,,,,0.1,.833,Nate DeLong,,,0.7,21.1,,,,.557,,,0.8,.309
925,.095,10.1,0.0,-8.8,-2.8,21.9,0.1,.238,Fennis Dembo,-6.0,12.8,-0.2,7.8,0.7,13.1,17.6,.388,30.9,-0.1,-0.1,-0.037
926,.003,4.1,0.9,-4.6,-1.2,16.5,2.4,.363,Larry Demic,-3.4,11.5,-1.0,8.1,1.0,20.1,14.0,.486,15.5,-2.1,1.4,.022
927,.071,14.1,0.7,-4.4,-1.4,6.9,0.1,.500,Dell Demps,-3.1,2.1,0.0,14.4,2.8,20.2,4.6,.576,26.5,-0.1,0.1,.057
928,,,,,,,5.5,.408,George Dempsey,,,5.3,12.3,,,,.459,,,10.8,.090
929,.039,8.7,0.8,-0.4,1.9,16.3,1.4,.287,Kenny Dennard,-2.3,8.9,0.0,9.3,2.7,19.4,12.5,.468,11.2,0.5,1.4,.056
930,,,,,,,0.0,.200,Blaine Denning,,,0.0,18.9,,,,.460,,,0.0,.095
931,.467,17.3,0.0,-7.7,-2.6,9.7,0.1,.200,Justin Dentmon,-5.1,0.0,-0.2,3.8,1.1,17.7,4.9,.398,19.5,-0.1,-0.1,-0.071
932,.003,7.7,1.2,-0.9,-0.4,23.1,10.2,.202,Randy Denton,-0.5,11.5,10.0,17.3,1.1,11.6,17.2,.507,20.6,4.0,20.2,.095
