,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,Name,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
2241,.045,0.0,,,,,0.0,.182,Reggie Lacefield,,,0.0,12.8,,11.2,10.0,.505,20.6,,0.1,.095
2242,.009,7.2,,,,,0.4,.306,Edgar Lacey,,,0.1,10.5,,20.2,13.4,.471,18.7,,0.5,.040
2243,.002,15.6,2.7,3.0,3.9,23.8,41.9,.244,Sam Lacey,-0.9,7.3,9.0,14.2,1.9,23.0,15.7,.480,14.9,29.7,50.9,.077
2244,.014,16.0,0.0,-0.2,-0.5,8.3,0.1,.461,Bob Lackey,0.3,5.5,-0.2,7.3,3.0,21.7,6.9,.474,19.0,0.0,-0.1,-0.004
2245,,,,,,,1.8,.254,Fred LaCour,,,1.6,11.8,,,,.468,,,3.4,.068
2246,.114,10.8,0.2,-1.4,2.1,20.2,14.1,.132,Wendell Ladner,-3.4,7.9,-10.5,12.5,3.2,13.0,14.4,.423,22.5,0.3,3.6,.022
2247,.042,14.9,1.9,1.6,1.3,19.1,30.3,.429,Christian Laettner,0.2,7.5,34.6,16.9,1.9,16.2,13.3,.557,21.0,23.2,64.9,.121
2248,.333,14.4,0.0,-2.8,-1.6,16.3,0.0,.000,Oliver Lafayette,-1.2,5.7,0.0,12.8,0.0,14.3,11.1,.583,14.9,0.0,0.0,.098
2249,.275,6.9,4.6,1.5,1.1,19.0,15.9,.223,Raef LaFrentz,0.4,7.7,23.5,16.1,1.0,8.9,13.3,.542,17.8,12.8,39.4,.130
2250,.001,10.5,1.2,-2.4,-0.2,19.7,5.4,.528,Tom LaGarde,-2.2,8.7,1.1,11.5,0.7,18.7,14.1,.512,18.7,-0.6,6.5,.050
2251,.055,8.9,1.7,2.0,1.7,24.6,49.3,.260,Bill Laimbeer,0.4,8.9,56.2,16.1,1.0,11.3,16.7,.552,16.9,34.4,105.6,.149
2252,,,,,,,0.0,.000,Pete Lalich,,,0.0,,,,,.000,,,0.0,
2253,.098,18.7,0.2,-1.9,-2.0,5.6,3.6,.185,Bo Lamar,0.2,3.1,1.9,14.6,2.0,10.7,4.3,.457,26.4,0.3,5.4,.033
2254,.007,5.8,1.7,-2.6,0.2,18.3,6.3,.202,John Lambert,-2.8,10.3,0.7,10.4,1.3,14.3,14.2,.458,15.3,-0.8,6.9,.060
2255,.042,10.7,0.2,-3.3,-1.6,9.9,2.9,.248,Jeff Lamp,-1.7,4.3,2.4,11.5,1.4,13.3,7.1,.522,19.3,-1.2,5.2,.072
2256,.035,6.1,1.2,-8.7,-2.4,19.2,0.5,.160,Maciej Lampe,-6.2,6.7,-0.7,8.5,0.7,12.4,12.9,.435,20.3,-1.1,-0.2,-0.014
2257,.000,0.0,0.0,-12.1,-2.9,28.1,0.0,.667,Jim Lampley,-9.1,7.4,0.0,8.3,3.1,20.5,18.0,.387,12.8,0.0,0.0,-0.003
2258,.027,10.7,0.6,-3.2,-1.0,14.2,0.4,.631,Sean Lampley,-2.2,5.7,0.7,13.5,0.7,12.8,9.8,.533,18.6,-0.2,1.1,.096
2259,.001,4.3,0.5,-3.7,-1.6,24.1,8.0,.378,Mark Landsberger,-2.0,16.1,4.2,12.8,0.8,16.0,20.2,.497,16.3,-3.1,12.2,.080
2260,.014,12.6,0.7,-1.2,0.7,23.2,3.4,.373,Jerome Lane,-1.9,16.5,-1.1,12.6,1.9,16.6,19.6,.440,18.4,0.7,2.3,.034
2261,.005,4.1,4.6,-1.1,1.9,17.0,21.0,.308,Andrew Lang,-3.0,8.9,7.6,11.7,1.1,14.0,13.0,.516,14.2,3.5,28.6,.089
2262,.030,6.0,2.9,-2.8,1.9,12.2,2.1,.455,Antonio Lang,-4.7,7.3,-0.5,8.8,2.3,21.8,9.8,.515,14.5,-0.3,1.7,.057
2263,.000,5.2,4.2,-4.0,-0.5,12.9,0.0,.556,James Lang,-3.5,10.2,0.0,6.6,0.0,15.2,11.5,.491,10.6,0.0,0.1,.047
2264,.410,14.4,0.6,-1.9,-2.1,8.7,0.7,.251,Trajan Langdon,0.2,1.9,2.1,12.2,1.7,14.3,5.3,.551,17.9,0.1,2.9,.079
2265,.000,0.0,0.0,-19.9,-5.1,23.3,0.0,.000,Keith Langford,-14.9,0.0,0.0,-2.4,0.0,0.0,11.8,.250,19.2,0.0,0.0,-0.142
2266,.086,5.2,0.7,-6.8,-2.2,13.2,0.8,.141,Dan Langhi,-4.7,4.9,-0.5,8.8,1.3,7.0,9.1,.421,18.3,-1.5,0.3,.012
2267,.001,14.4,2.5,5.0,1.6,21.5,41.7,.322,Bob Lanier,3.3,8.3,75.4,21.7,1.5,14.9,15.6,.559,22.6,41.9,117.1,.175
2268,,13.7,0.3,-2.9,-1.2,6.9,15.3,.399,Stu Lantz,-1.7,4.1,17.1,13.4,1.5,,5.4,.508,,-0.8,32.5,.102
2269,,,,,,,0.6,.220,York Larese,,,-0.3,9.2,,,,.421,,,0.3,.020
2270,.342,17.3,0.5,-4.6,-1.7,8.1,1.2,.139,Rusty LaRue,-2.8,1.6,-0.6,8.9,2.1,15.1,4.8,.461,18.2,-1.0,0.5,.017
2271,,9.3,,,,,25.6,.452,Rudy LaRusso,,,35.8,15.4,,,,.504,,,61.4,.120
2272,,7.3,0.3,-5.1,-0.9,10.8,2.2,.166,John Laskowski,-4.2,3.1,-0.2,10.9,2.0,,6.7,.430,,-1.7,2.0,.046
2273,.000,1.6,5.8,-2.8,1.9,10.8,0.3,.451,Stephane Lasme,-4.8,10.1,-0.1,11.7,2.3,15.0,10.5,.488,15.6,-0.1,0.3,.041
2274,.002,5.8,,,,14.6,2.0,.431,Dave Lattin,,8.1,4.3,13.6,,16.3,13.7,.515,19.1,,6.3,.072
2275,.005,12.8,3.8,-8.0,-1.1,22.9,0.5,.426,Priest Lauderdale,-6.9,9.6,-1.3,11.3,0.8,24.4,16.1,.497,29.9,-0.8,-0.8,-0.074
2276,,6.8,0.9,-7.2,-2.9,7.6,0.0,.129,Rich Laurel,-4.4,10.9,-0.1,7.5,2.3,10.9,9.3,.366,24.5,-0.1,0.0,-0.034
2277,.000,15.4,,,,,0.1,.917,Harry Laurie,,,-0.1,0.6,,37.3,11.1,.386,16.5,,0.0,-0.008
2278,,,,,,,-0.2,.166,Walt Lautenbach,,,-1.1,,,,,.334,,,-1.3,
2279,,,,,,,0.9,.450,Tony Lavelli,,,3.8,,,,,.466,,,4.7,
2280,,,,,,,9.7,.340,Bob Lavoy,,,6.2,15.0,,,,.438,,,15.9,.132
2281,.181,19.6,0.1,-5.4,-2.2,7.9,1.3,.347,Acie Law,-3.2,1.6,0.2,9.9,1.8,16.5,4.7,.494,16.7,-2.0,1.6,.032
2282,.000,9.5,0.0,1.0,-2.2,13.0,0.0,.500,Edmund Lawrence,3.2,11.6,0.1,19.4,2.5,9.3,12.2,.615,22.9,0.0,0.1,.201
2283,.000,10.7,3.6,4.8,3.5,28.6,0.2,.667,Jason Lawson,1.3,11.5,0.3,21.5,2.8,9.3,19.9,.670,12.3,0.1,0.5,.280
2284,.000,21.0,0.4,-4.5,-3.2,5.8,3.0,.231,Mo Layton,-1.3,1.5,1.4,11.8,1.4,25.6,3.9,.485,17.8,-1.0,4.4,.047
2285,.001,5.1,2.3,-4.7,0.5,17.2,10.3,.296,Manny Leaks,-5.2,9.9,4.0,15.0,0.5,11.0,14.3,.482,18.9,-0.6,14.4,.055
2286,,,,,,,0.0,.000,Hal Lear,,,0.0,1.0,,,,.333,,,0.0,-0.085
2287,.106,27.9,0.4,-1.1,-1.2,5.9,13.9,.306,Allen Leavell,0.1,1.9,16.0,14.7,2.7,17.1,3.9,.520,19.1,3.6,29.9,.088
2288,.000,11.8,0.0,-2.7,0.8,6.9,0.0,.286,Jeff Lebo,-3.4,7.2,0.0,5.8,3.0,11.3,7.0,.381,11.5,0.0,0.0,.065
2289,.004,5.7,1.6,-4.9,-0.6,21.7,5.8,.435,Eric Leckner,-4.3,7.6,0.4,9.8,0.8,18.8,14.7,.549,16.3,-4.0,6.2,.054
2290,.000,22.8,0.0,-2.7,-1.9,6.0,1.1,.362,Butch Lee,-0.7,2.3,1.2,13.5,2.2,17.7,4.1,.507,20.0,-0.3,2.4,.062
2291,,5.1,0.6,-2.4,0.6,20.6,28.7,.381,Clyde Lee,-3.0,11.4,4.8,11.9,0.7,,17.3,.470,,-0.6,33.5,.081
2292,.021,3.8,,,,,0.2,.491,David Lee,,,1.8,17.3,,11.3,10.6,.540,18.5,,1.9,.121
2293,,59.3,,,,,0.0,,Dick Lee,,,0.0,30.7,,,21.8,,0.0,,0.0,.084
2294,.392,10.9,0.8,-2.9,-2.1,6.7,0.3,.270,Doug Lee,-0.8,4.2,0.4,11.0,2.1,10.8,5.4,.507,18.4,-0.1,0.7,.086
2295,,5.8,,,,,3.9,.522,George Lee,,,2.7,12.1,,,,.464,,,6.6,.061
2296,.000,30.1,0.0,-5.8,-3.1,4.0,0.1,.211,Greg Lee,-2.7,1.0,0.0,11.9,2.8,27.4,2.5,.578,13.4,-0.1,0.1,.041
2297,.012,8.8,2.2,-2.0,0.8,22.1,3.7,.265,Keith Lee,-2.8,10.6,0.0,12.2,1.2,16.0,16.3,.493,18.8,0.0,3.7,.062
2298,.211,16.8,0.4,-6.7,-1.1,9.5,0.2,.394,Kurk Lee,-5.7,2.7,-0.3,5.6,2.0,19.4,5.9,.396,15.7,-0.3,-0.1,-0.013
2299,.000,25.0,0.0,-10.8,-4.6,12.2,0.0,2.000,Rock Lee,-6.2,0.0,0.0,1.0,0.0,0.0,6.0,.266,15.3,0.0,0.0,-0.129
2300,.042,23.2,0.7,0.0,1.6,9.5,14.9,.296,Ron Lee,-1.6,4.4,-4.2,12.4,4.1,22.8,6.9,.466,17.0,5.0,10.7,.054
2301,,15.2,0.5,-2.9,-0.9,12.9,0.9,.246,Russ Lee,-2.0,10.5,-0.4,14.0,3.2,,9.7,.428,,-0.1,0.5,.038
2302,,,,,,,1.8,.576,Ed Leede,,,4.0,,,,,.432,,,5.8,
2303,,,,,,,0.1,.114,Hank Lefkowitz,,,-0.9,,,,,.213,,,-0.8,
2304,.354,11.9,0.5,-1.1,-2.2,7.8,2.0,.278,Tim Legler,1.1,2.6,10.0,13.6,1.4,9.2,5.2,.570,17.2,1.1,12.1,.110
2305,.290,23.5,0.4,-6.5,-4.1,4.0,7.0,.251,George Lehmann,-2.5,1.1,11.6,12.8,1.1,19.2,2.9,.520,20.3,-0.6,18.6,.092
2306,.414,13.4,0.6,-0.3,-1.5,9.4,11.0,.199,Voshon Lenard,1.3,2.6,18.6,13.8,1.5,10.5,6.0,.526,21.2,6.7,29.6,.093
2307,.003,4.8,,,,,3.9,.287,Leary Lentz,,,-0.5,12.0,,10.2,11.0,.444,15.2,,3.4,.045
2308,.027,2.2,4.4,-6.3,-0.3,17.6,0.2,.541,Gary Leonard,-6.0,9.7,-0.1,8.6,1.4,16.4,13.4,.480,16.0,-0.2,0.1,.029
2309,,,,,,,7.4,.314,Slick Leonard,,,-3.6,10.2,,,,.409,,,3.8,.016
2310,.528,30.4,0.3,-2.6,-2.1,8.2,3.4,.352,Jim Les,-0.5,2.3,4.8,12.4,2.0,21.4,5.2,.559,13.8,-0.6,8.1,.092
2311,.000,17.0,3.7,-0.2,1.3,8.0,0.0,.643,Travis Leslie,-1.5,15.7,0.0,14.6,2.4,10.0,11.9,.390,20.5,0.0,0.1,.060
2312,.015,27.4,0.4,-2.7,-1.7,7.1,3.0,.397,Ronnie Lester,-1.0,3.4,3.4,13.0,1.8,21.8,5.3,.533,17.9,-0.8,6.3,.061
2313,.027,8.6,0.5,-8.8,-2.3,5.0,0.1,.243,Clifford Lett,-6.5,0.9,-0.2,3.4,0.8,19.6,3.0,.464,16.8,-0.2,-0.1,-0.034
2314,,,,,,,2.4,.172,Andrew Levane,,,-1.6,-4.1,,,,.339,,,0.8,-0.275
2315,.055,26.4,0.5,3.6,1.8,14.5,31.7,.243,Fat Lever,1.8,6.1,29.4,17.8,3.2,12.3,10.1,.496,19.7,33.7,61.2,.123
2316,.007,5.9,2.1,1.4,1.2,16.6,21.0,.398,Cliff Levingston,0.1,11.5,23.2,13.8,1.5,13.5,14.0,.554,14.9,14.4,44.2,.125
2317,,17.5,,,,,3.3,.335,Bobby Lewis,,,-2.3,9.7,,,5.4,.436,,,1.1,.012
2318,.000,0.0,0.0,16.5,-3.8,0.0,0.0,.000,Cedric Lewis,20.3,60.0,0.0,62.7,12.8,0.0,29.4,.667,33.5,0.0,0.1,.613
2319,,,,,,,1.5,.209,Freddie Lewis,,,-0.7,,,,,.359,,,0.7,
2320,.099,16.4,0.2,-0.8,-1.2,5.7,21.2,.387,Freddie Lewis,0.4,3.8,32.7,15.0,2.2,13.5,5.1,.516,20.4,2.3,53.8,.104
2321,,,,,,,5.3,.317,Grady Lewis,,,-1.0,,,,,.304,,,4.3,
2322,.135,4.8,1.6,-5.8,-2.8,8.0,0.1,.365,Martin Lewis,-3.0,9.3,0.0,11.2,1.9,14.9,8.7,.518,18.6,-0.2,0.1,.026
2323,.001,12.7,0.0,-16.2,-9.9,21.7,9.8,.360,Mike Lewis,-6.3,12.3,14.6,17.6,0.0,19.1,17.4,.544,16.4,-0.1,24.4,.116
2324,.190,8.4,1.5,-4.0,-0.7,9.0,1.7,.159,Quincy Lewis,-3.2,4.8,-0.9,6.7,1.7,13.6,6.9,.454,17.9,-0.9,0.8,.020
2325,.019,5.9,0.6,-5.0,-0.8,10.4,0.6,.414,Ralph Lewis,-4.1,9.0,-0.6,8.5,1.8,15.0,9.8,.451,18.4,-0.5,0.0,-0.003
2326,.371,8.9,1.2,2.0,-0.2,13.9,29.9,.249,Rashard Lewis,2.3,5.0,61.0,16.8,1.8,10.2,9.5,.563,21.1,34.1,90.9,.130
2327,.021,11.6,1.7,1.5,0.3,10.0,14.8,.274,Reggie Lewis,1.3,4.6,24.1,17.1,1.9,8.8,7.4,.538,23.3,13.1,38.9,.127
2328,.103,7.7,0.9,-2.9,-1.0,12.1,3.7,.249,Marcus Liberty,-2.0,9.1,0.3,12.2,1.9,11.3,10.5,.466,20.3,-1.1,4.0,.042
2329,.049,10.5,0.6,-2.7,-0.9,8.5,3.1,.306,Todd Lichti,-1.8,4.1,2.5,12.2,1.9,12.3,6.2,.517,19.0,-0.8,5.6,.063
2330,.045,19.6,,,,,1.3,.353,Barry Liebowitz,,,0.2,9.5,,18.2,3.4,.443,20.8,,1.5,.033
2331,,14.5,1.8,-7.1,-3.5,4.8,0.1,.175,Bill Ligon,-3.6,5.7,-0.4,11.8,1.4,,5.3,.409,,-0.4,-0.2,-0.043
2332,.006,8.3,1.3,-2.4,-0.4,17.4,16.3,.526,Goose Ligon,-2.0,9.6,19.8,15.9,1.1,15.1,14.3,.533,15.5,0.0,36.1,.119
2333,.000,9.5,2.6,-3.4,2.7,19.9,0.1,.857,Steve Lingenfelter,-6.1,6.5,-0.1,3.1,0.7,38.4,13.1,.519,9.6,0.0,0.0,.009
2334,.002,6.4,4.6,-0.3,2.4,24.5,31.2,.433,Alton Lister,-2.7,10.9,5.4,12.9,0.9,19.9,17.7,.539,15.7,7.9,36.6,.093
2335,.250,26.0,,,,,0.0,.250,Samuel Little,,,0.0,10.3,,18.4,4.0,.563,18.0,,0.0,.168
2336,.031,15.3,0.4,-0.4,0.3,7.4,11.2,.333,Gene Littles,-0.7,4.8,12.2,13.5,2.5,14.4,6.3,.526,15.1,1.2,23.4,.099
2337,.130,23.8,0.9,-3.7,-0.2,8.6,3.2,.227,Randy Livingston,-3.5,3.3,-0.9,10.0,2.4,21.3,6.0,.469,17.5,-1.2,2.3,.041
2338,,,,,,,5.3,.307,Ron Livingstone,,,-3.0,,,,,.346,,,2.4,
2339,.061,5.5,4.1,-5.1,2.2,22.5,0.3,.367,Horacio Llamas Grey,-7.3,6.6,-0.3,10.0,4.0,26.0,14.7,.509,24.3,-0.1,0.0,-0.011
2340,.044,14.2,,,,,1.4,.500,Bobby Lloyd,,,3.9,13.9,,13.5,4.2,.519,19.5,,5.3,.108
2341,.000,6.8,,,,,0.1,.588,Chuck Lloyd,,,0.1,17.4,,3.0,9.6,.514,20.3,,0.2,.085
2342,,,,,,,19.6,.309,Earl Lloyd,,,-0.5,10.6,,,,.416,,,19.1,.062
2343,.011,17.2,0.8,0.3,-0.8,8.2,7.6,.243,Lewis Lloyd,1.1,5.6,12.2,16.4,1.8,15.2,6.9,.559,22.7,5.5,19.8,.101
2344,.005,8.6,0.7,-3.6,-0.8,13.9,2.3,.364,Scott Lloyd,-2.8,8.1,0.2,8.5,0.8,18.0,10.9,.480,15.0,-2.2,2.5,.021
2345,.022,8.8,,,,,1.2,.303,Riney Lochmann,,,-0.6,9.5,,12.8,9.7,.442,16.2,,0.6,.013
2346,,,,,,,1.0,.498,Bob Lochmueller,,,-0.5,9.0,,,,.388,,,0.5,.031
2347,.000,4.5,2.0,-9.4,-1.4,17.4,0.1,.469,Rob Lock,-8.0,13.6,-0.3,5.3,1.3,25.2,15.5,.389,18.5,-0.2,-0.2,-0.083
2348,.000,0.0,0.0,-10.7,-4.1,22.4,0.0,.000,Darrell Lockhart,-6.6,0.0,0.0,1.6,0.0,50.0,11.4,1.000,11.1,0.0,0.0,-0.048
2349,.000,0.0,0.0,16.4,-11.0,0.0,0.0,2.000,Ian Lockhart,27.3,0.0,0.0,76.3,0.0,0.0,0.0,1.064,38.3,0.0,0.0,1.084
2350,.029,11.2,1.2,-2.5,-0.5,12.1,1.9,.253,Kevin Loder,-2.0,5.9,0.5,11.9,1.5,14.0,8.9,.498,19.5,-0.3,2.4,.055
2351,,,,,,,2.9,.429,Don Lofgran,,,0.2,11.7,,,,.402,,,3.1,.044
2352,.007,13.3,,,,,1.7,.529,Henry Logan,,,3.9,13.7,,17.5,6.9,.530,20.6,,5.6,.111
2353,,,,,,,10.1,.341,John Logan,,,17.7,,,,,.385,,,27.8,
2354,.310,10.1,3.1,-1.0,0.4,15.7,10.8,.147,Brad Lohaus,-1.5,5.3,4.4,12.3,1.5,12.9,10.4,.516,17.7,2.5,15.2,.070
2355,.009,5.9,2.6,-3.8,-0.1,18.0,1.3,.300,Art Long,-3.7,12.7,-0.3,9.7,1.2,18.9,15.4,.472,17.0,-0.6,0.9,.037
2356,.039,9.2,0.9,0.6,1.4,16.3,32.9,.440,Grant Long,-0.8,8.6,27.2,13.3,2.2,15.5,12.4,.536,16.1,18.5,60.1,.101
2357,.029,11.4,0.4,-1.8,-1.4,7.3,16.4,.193,John Long,-0.3,4.6,15.7,14.2,1.9,11.6,5.9,.512,23.5,1.2,32.0,.068
2358,.000,19.4,,,,,0.4,.359,Paul Long,,,0.5,14.7,,23.3,6.1,.489,29.0,,0.8,.077
2359,.002,6.0,0.3,-2.0,-1.3,16.5,4.8,.370,Willie Long,-0.7,8.7,2.0,12.9,1.2,13.5,12.5,.485,22.1,0.0,6.9,.065
2360,.001,10.7,3.2,-1.5,1.7,18.4,17.9,.260,Luc Longley,-3.2,8.4,-0.4,11.8,1.2,18.8,13.4,.503,18.5,1.5,17.5,.070
2361,.115,10.2,1.1,-2.7,-0.9,11.2,2.0,.357,Felipe Lopez,-1.8,5.9,1.1,11.5,2.1,14.7,8.5,.491,18.9,-0.7,3.1,.036
2362,.199,35.9,0.2,-3.5,-2.6,9.6,1.5,.230,Raul Lopez,-1.0,1.8,0.6,12.2,2.2,23.5,5.6,.510,20.4,-0.8,2.1,.047
2363,.063,23.1,0.1,-3.7,-1.7,7.8,0.2,.395,Ryan Lorthridge,-2.0,3.9,0.2,12.9,2.0,17.9,5.8,.520,20.0,-0.3,0.4,.032
2364,,,,,,,16.0,.194,Jim Loscutoff,,,-12.5,8.3,,,,.376,,,3.4,.017
2365,,8.0,,,,,0.3,.168,Plummer Lott,,,-1.6,4.1,,,,.320,,,-1.3,-0.101
2366,,17.4,,,,,17.7,.301,Kevin Loughery,,,12.1,13.7,,,4.6,.472,,,29.8,.064
2367,,7.0,0.3,-2.7,-1.4,11.3,27.3,.294,Bob Love,-1.3,5.7,23.2,14.9,1.1,,8.6,.485,,-1.6,50.4,.096
2368,.000,7.2,1.5,-3.6,-1.0,15.3,4.2,.254,Stan Love,-2.6,7.3,1.4,13.2,1.6,15.9,12.4,.482,23.1,-0.5,5.6,.076
2369,,,,,,,25.4,.291,Clyde Lovellette,,,45.2,21.6,,,,.491,,,70.6,.178
2370,.056,28.5,0.2,-3.7,-0.1,8.9,3.4,.393,Sidney Lowe,-3.5,2.6,0.6,10.4,2.8,23.2,5.6,.444,10.2,-1.4,3.9,.055
2371,,12.5,,,,,0.2,.474,Charlie Lowery,,,0.1,10.5,,,6.8,.490,,,0.2,.083
2372,,,,,,,0.0,.000,Al Lucas,,,0.0,,,,,.333,,,0.0,
2373,,12.0,0.8,-0.1,1.7,20.1,34.8,.294,Jerry Lucas,-1.9,4.0,63.6,18.9,0.8,,15.3,.544,,0.8,98.4,.147
2374,.093,33.6,0.2,-0.4,-1.3,7.1,19.9,.281,John Lucas,0.9,2.1,33.8,15.9,2.4,16.9,4.6,.509,18.7,10.3,53.7,.101
2375,.005,11.7,1.2,0.2,0.5,23.6,40.6,.311,Maurice Lucas,-0.3,9.7,28.4,16.2,1.2,15.4,16.7,.519,22.0,16.7,69.0,.110
2376,,,,,,,0.6,.511,Ted Luckenbill,,,-0.2,8.3,,,,.426,,,0.4,.029
2377,.291,23.2,0.1,-2.8,-3.2,7.6,2.5,.215,Tyronn Lue,0.4,1.2,17.2,13.2,1.2,13.0,4.4,.533,18.5,-2.5,19.7,.075
2378,,,,,,,0.1,.432,Jim Luisi,,,-0.1,7.6,,,,.394,,,0.0,.002
2379,,,,,,,0.1,.625,Al Lujack,,,-0.1,,,,,.196,,,0.0,
2380,,25.5,0.1,-5.8,-2.4,5.7,0.6,.271,Phil Lumpkin,-3.3,1.6,0.1,10.5,1.4,,3.7,.477,,-1.1,0.7,.028
2381,,,,,,,4.9,.358,Ray Lumpp,,,10.6,12.6,,,,.435,,,15.5,.067
2382,.059,0.0,,,,,0.0,.471,R.B. Lynam,,,0.0,-0.2,,19.6,6.0,.414,25.2,,0.0,-0.011
2383,.102,10.2,1.1,0.6,1.6,15.5,22.4,.259,George Lynch,-1.0,9.6,10.0,12.8,2.4,14.6,12.5,.490,15.4,11.5,32.3,.088
2384,.032,11.8,0.8,-4.0,-0.5,7.3,0.6,.298,Kevin Lynch,-3.5,4.0,-0.2,7.7,2.0,17.6,5.6,.486,13.8,-0.6,0.4,.016
2385,.011,7.2,,,,,0.8,.269,Lonnie Lynn,,,-0.7,9.1,,18.1,14.1,.423,17.4,,0.1,.007
2386,,8.9,,,,,0.4,.364,Mike Lynn,,,-0.7,4.5,,,7.3,.388,,,-0.3,-0.035
2387,.030,8.0,2.1,-3.5,-1.0,23.3,0.4,.315,Skal Labissiere,-2.5,11.2,0.3,16.7,1.3,14.2,17.3,.556,22.8,-0.2,0.7,.078
2388,.393,8.8,0.1,-5.9,-2.3,7.0,0.4,.217,Doron Lamb,-3.6,1.4,-0.3,6.3,1.0,13.0,4.2,.488,14.4,-1.2,0.1,.005
2389,.374,11.2,1.5,-1.4,-0.8,16.6,5.6,.177,Jeremy Lamb,-0.6,2.6,4.5,14.8,1.6,8.1,9.7,.529,21.4,0.7,10.1,.106
2390,.008,5.3,1.3,-1.1,-1.1,15.1,10.2,.444,Carl Landry,0.0,9.9,25.7,17.5,1.0,11.5,12.5,.595,20.5,2.6,35.9,.149
2391,.651,0.0,1.3,-11.8,-6.8,14.6,0.0,.116,Marcus Landry,-5.0,5.0,-0.1,7.2,0.5,11.7,9.7,.487,20.9,-0.3,-0.1,-0.034
2392,.574,22.9,0.5,-4.9,-2.4,5.7,0.2,.191,Nicolas Laprovittola,-2.5,0.7,0.0,8.4,1.2,27.2,3.3,.579,18.1,-0.1,0.2,.044
2393,.245,23.7,0.4,-2.6,-0.9,9.4,2.2,.196,Shane Larkin,-1.7,1.9,0.9,11.6,2.7,18.7,5.5,.502,15.8,-0.6,3.0,.035
2394,.207,9.4,1.1,-3.0,-1.0,21.5,1.9,.215,Joffrey Lauvergne,-2.0,8.3,1.7,13.6,1.0,12.9,14.8,.527,19.0,-0.6,3.6,.078
2395,.338,18.6,0.5,-2.0,-2.5,10.4,1.2,.222,Zach LaVine,0.5,1.4,3.8,13.4,1.4,14.4,5.8,.547,22.5,0.0,5.0,.041
2396,,0.0,0.0,-4.9,0.5,0.0,0.0,,Gani Lawal,-5.4,0.0,0.0,-9.1,0.0,,0.0,,0.0,0.0,0.0,-0.009
2397,.244,32.0,0.3,0.6,-1.5,8.0,9.4,.359,Ty Lawson,2.2,2.5,31.9,17.1,2.0,15.6,5.2,.554,20.2,10.7,41.3,.124
2398,.651,5.7,0.9,-6.7,-3.0,8.3,0.1,.270,Jake Layman,-3.6,1.3,-0.2,6.3,2.0,7.8,4.8,.433,19.3,-0.2,-0.1,-0.022
2399,.310,12.6,0.3,-7.8,-3.4,9.4,0.0,.230,Ricky Ledo,-4.5,6.5,-0.6,7.0,1.3,18.4,7.9,.438,25.2,-0.4,-0.6,-0.096
2400,.335,9.3,0.8,-0.2,0.0,9.1,16.3,.175,Courtney Lee,-0.2,1.9,17.5,12.1,1.9,9.8,5.5,.547,16.1,8.6,33.8,.087
2401,.003,12.6,1.0,1.6,0.9,24.1,26.2,.311,David Lee,0.8,9.9,49.5,19.2,1.3,13.0,17.0,.577,20.6,22.2,75.8,.151
2402,.250,14.8,1.4,-2.0,0.4,8.9,0.4,.272,Malcolm Lee,-2.4,5.0,0.0,9.5,1.9,15.1,6.9,.460,15.0,0.0,0.4,.040
2403,.015,5.2,4.2,-2.6,1.3,24.1,6.0,.381,Alex Len,-3.8,10.4,1.5,13.0,1.1,16.5,17.1,.515,17.2,-0.7,7.5,.070
2404,.278,12.0,1.7,6.3,2.7,17.9,23.9,.305,Kawhi Leonard,3.6,4.9,30.7,21.9,3.0,9.0,11.6,.597,22.3,25.0,54.6,.219
2405,.390,7.6,1.6,-2.0,-0.6,20.8,4.0,.162,Meyers Leonard,-1.4,5.3,5.2,11.5,0.5,12.6,13.1,.563,15.7,0.0,9.1,.091
2406,.196,8.3,1.4,-1.1,0.0,20.5,6.1,.191,Jon Leuer,-1.1,6.5,6.1,14.8,1.2,10.1,13.4,.542,18.6,1.2,12.2,.109
2407,.486,13.6,0.4,-1.1,-0.2,13.6,0.8,.260,Caris LeVert,-0.9,2.4,0.7,11.9,2.0,13.0,8.0,.551,15.9,0.3,1.5,.066
2408,.330,8.8,1.2,-1.6,1.7,12.3,1.5,.359,DeAndre Liggins,-3.3,3.8,-0.4,8.2,3.0,21.2,8.2,.493,11.9,0.1,1.1,.045
2409,.406,29.0,0.6,3.1,-1.7,10.4,8.6,.309,Damian Lillard,4.7,1.7,36.0,20.2,1.3,12.4,6.1,.565,27.5,18.2,44.6,.151
2410,.294,27.0,1.2,-0.1,-0.5,10.0,9.6,.381,Jeremy Lin,0.4,1.8,11.1,15.4,2.2,17.8,5.9,.545,22.1,5.2,20.7,.094
2411,.017,22.6,1.4,-1.5,0.2,9.9,14.2,.272,Shaun Livingston,-1.8,3.2,11.4,12.6,1.8,17.9,6.6,.528,15.8,1.7,25.6,.082
2412,.147,10.7,3.4,4.2,0.7,21.5,0.3,.426,Shawn Long,3.4,14.2,0.5,25.3,2.1,11.0,17.8,.662,24.1,0.3,0.8,.224
2413,.098,8.2,2.9,-0.2,1.3,18.9,0.8,.304,Kevon Looney,-1.4,11.6,0.7,13.6,1.5,11.8,15.5,.559,13.4,0.2,1.5,.157
